team;home_team;home_goals;away_goals;away_team;game_type;year
Germany;Austria;2;3;Germany;3rd place;1934
Germany;Czechoslovakia;3;1;Germany;semifinal;1934
Germany;Germany;2;1;Sweden;quaterfinal;1934
Germany;Belgium;2;5;Germany;group 1;1934
Mexico;Mexico;1;2;Netherlands;round of 16 ;2014
Mexico;Croatia;1;3;Mexico;group A ;2014
Mexico;Brazil;0;0;Mexico;group A ;2014
Mexico;Cameroon;0;1;Mexico;group A ;2014
Mexico;Argentina;3;1;Mexico;round of 16 ;2010
Mexico;Mexico;0;1;Uruguay;group A ;2010
Mexico;France;0;2;Mexico;group A ;2010
Mexico;Mexico;1;1;South Africa;group A ;2010
Mexico;Argentina;2;1;Mexico;round of 16 ;2006
Mexico;Mexico;1;2;Portugal;group D ;2006
Mexico;Angola;0;0;Mexico;group D ;2006
Mexico;Iran;1;3;Mexico;group D ;2006
Mexico;Mexico;0;2;United States;round of 16 ;2002
Mexico;Italy;1;1;Mexico;group G ;2002
Mexico;Ecuador;1;2;Mexico;group G ;2002
Mexico;Croatia;0;1;Mexico;group G ;2002
Mexico;Germany;2;1;Mexico;round of 16 ;1998
Mexico;Mexico;2;2;Netherlands;group E ;1998
Mexico;Belgium;2;2;Mexico;group E ;1998
Mexico;Mexico;3;1;South Korea;group E ;1998
Mexico;Bulgaria;1;1;Mexico;round of 16 ;1994
Mexico;Italy;1;1;Mexico;group E ;1994
Mexico;Republic of Ireland;1;2;Mexico;group E ;1994
Mexico;Mexico;0;1;Norway;group E ;1994
Mexico;Germany;0;0;Mexico;quaterfinal;1986
Mexico;Bulgaria;0;2;Mexico;round of 16 ;1986
Mexico;Iraq;0;1;Mexico;group B ;1986
Mexico;Mexico;1;1;Paraguay;group B ;1986
Mexico;Belgium;1;2;Mexico;group B ;1986
Mexico;Mexico;1;3;Poland;group 2;1978
Mexico;Germany;6;0;Mexico;group 2;1978
Mexico;Mexico;1;3;Tunisia;group 2;1978
Mexico;Italy;4;1;Mexico;quaterfinal;1970
Mexico;Belgium;0;1;Mexico;group 1;1970
Mexico;El Salvador;0;4;Mexico;group 1;1970
Mexico;Mexico;0;0;U.S.S.R.;group 1;1970
Mexico;Mexico;0;0;Uruguay;group 1;1966
Mexico;England;2;0;Mexico;group 1;1966
Mexico;France;1;1;Mexico;group 1;1966
Mexico;Czechoslovakia;1;3;Mexico;group 3;1962
Mexico;Mexico;0;1;Spain;group 3;1962
Mexico;Brazil;2;0;Mexico;group 3;1962
Mexico;Hungary;4;0;Mexico;group 3;1958
Mexico;Mexico;1;1;Wales;group 3;1958
Mexico;Mexico;0;3;Sweden;group 3;1958
Mexico;France;3;2;Mexico;group 1;1954
Mexico;Brazil;5;0;Mexico;group 1;1954
Mexico;Mexico;1;2;Switzerland;group 1;1950
Mexico;Mexico;1;4;Yugoslavia;;1950
Mexico;Mexico;1;4;Yugoslavia;group 1;1950
Mexico;Brazil;4;0;Mexico;group 1;1950
Mexico;Argentina;6;3;Mexico;group 1;1930
Mexico;Chile;3;0;Mexico;group 1;1930
Mexico;France;4;1;Mexico;group 1;1930
Sweden;Germany;2;0;Sweden;round of 16 ;2006
Sweden;England;2;2;Sweden;group B ;2006
Sweden;Paraguay;0;1;Sweden;group B ;2006
Sweden;Sweden;0;0;Trinidad and Tobago;group B ;2006
Sweden;Senegal;2;1;Sweden;round of 16 ;2002
Sweden;Argentina;1;1;Sweden;group F ;2002
Sweden;Nigeria;1;2;Sweden;group F ;2002
Sweden;England;1;1;Sweden;group F ;2002
Sweden;Bulgaria;0;4;Sweden;3rd place;1994
Sweden;Brazil;1;0;Sweden;semifinal;1994
Sweden;Romania;2;2;Sweden;quaterfinal;1994
Sweden;Saudi Arabia;1;3;Sweden;round of 16 ;1994
Sweden;Brazil;1;1;Sweden;group B ;1994
Sweden;Russia;1;2;Sweden;group B ;1994
Sweden;Cameroon;2;2;Sweden;group B ;1994
Sweden;Costa Rica;2;1;Sweden;group C ;1990
Sweden;Scotland;2;1;Sweden;group C ;1990
Sweden;Brazil;2;1;Sweden;group C ;1990
Sweden;Spain;1;0;Sweden;group 3;1978
Sweden;Austria;1;0;Sweden;group 3;1978
Sweden;Brazil;1;1;Sweden;group 3;1978
Sweden;Sweden;2;1;Yugoslavia;group B ;1974
Sweden;Germany;4;2;Sweden;group B ;1974
Sweden;Poland;1;0;Sweden;group B ;1974
Sweden;Sweden;3;0;Uruguay;;1974
Sweden;Netherlands;0;0;Sweden;;1974
Sweden;Bulgaria;0;0;Sweden;;1974
Sweden;Sweden;1;0;Uruguay;group 2;1970
Sweden;Israel;1;1;Sweden;group 2;1970
Sweden;Italy;1;0;Sweden;group 2;1970
Sweden;Brazil;5;2;Sweden;final;1958
Sweden;Germany;1;3;Sweden;semifinal;1958
Sweden;Sweden;2;0;U.S.S.R.;quaterfinal;1958
Sweden;Sweden;0;0;Wales;group 3;1958
Sweden;Hungary;1;2;Sweden;group 3;1958
Sweden;Mexico;0;3;Sweden;group 3;1958
Sweden;Spain;1;3;Sweden;;1950
Sweden;Sweden;2;3;Uruguay;;1950
Sweden;Brazil;7;1;Sweden;;1950
Sweden;Paraguay;2;2;Sweden;group 3;1950
Sweden;Italy;2;3;Sweden;group 3;1950
Sweden;Brazil;4;2;Sweden;;1938
Sweden;Hungary;5;1;Sweden;;1938
Sweden;Cuba;0;8;Sweden;;1938
Sweden;Germany;2;1;Sweden;quaterfinal;1934
Sweden;Argentina;2;3;Sweden;group 1;1934
South Korea;Belgium;1;0;South Korea;group H ;2014
South Korea;Algeria;4;2;South Korea;group H ;2014
South Korea;Russia;1;1;South Korea;group H ;2014
South Korea;South Korea;1;2;Uruguay;round of 16 ;2010
South Korea;Nigeria;2;2;South Korea;group B ;2010
South Korea;Argentina;4;1;South Korea;group B ;2010
South Korea;Greece;0;2;South Korea;group B ;2010
South Korea;South Korea;0;2;Switzerland;group G ;2006
South Korea;France;1;1;South Korea;group G ;2006
South Korea;South Korea;2;1;Togo;group G ;2006
South Korea;South Korea;2;3;Turkey;3rd place;2002
South Korea;Germany;1;0;South Korea;semifinal;2002
South Korea;South Korea;0;0;Spain;quaterfinal;2002
South Korea;Italy;1;2;South Korea;round of 16 ;2002
South Korea;Portugal;0;1;South Korea;group D ;2002
South Korea;South Korea;1;1;United States;group D ;2002
South Korea;Poland;0;2;South Korea;group D ;2002
South Korea;Belgium;1;1;South Korea;group E ;1998
South Korea;Netherlands;5;0;South Korea;group E ;1998
South Korea;Mexico;3;1;South Korea;group E ;1998
South Korea;Germany;3;2;South Korea;group C ;1994
South Korea;Bolivia;0;0;South Korea;group C ;1994
South Korea;South Korea;2;2;Spain;group C ;1994
South Korea;South Korea;0;1;Uruguay;group E ;1990
South Korea;South Korea;1;3;Spain;group E ;1990
South Korea;Belgium;2;0;South Korea;group E ;1990
South Korea;Italy;3;2;South Korea;group A ;1986
South Korea;Bulgaria;1;1;South Korea;group A ;1986
South Korea;Argentina;3;1;South Korea;group A ;1986
South Korea;South Korea;0;7;Turkey;group 2;1954
South Korea;Hungary;9;0;South Korea;group 2;1954
Belgium;Argentina;1;0;Belgium;quaterfinal;2014
Belgium;Belgium;2;1;United States;round of 16 ;2014
Belgium;Belgium;1;0;South Korea;group H ;2014
Belgium;Belgium;1;0;Russia;group H ;2014
Belgium;Algeria;1;2;Belgium;group H ;2014
Belgium;Belgium;0;2;Brazil;round of 16 ;2002
Belgium;Belgium;3;2;Russia;group H ;2002
Belgium;Belgium;1;1;Tunisia;group H ;2002
Belgium;Belgium;2;2;Japan;group H ;2002
Belgium;Belgium;1;1;South Korea;group E ;1998
Belgium;Belgium;2;2;Mexico;group E ;1998
Belgium;Belgium;0;0;Netherlands;group E ;1998
Belgium;Belgium;2;3;Germany;round of 16 ;1994
Belgium;Belgium;0;1;Saudi Arabia;group F ;1994
Belgium;Belgium;1;0;Netherlands;group F ;1994
Belgium;Belgium;1;0;Morocco;group F ;1994
Belgium;Belgium;0;1;England;round of 16 ;1990
Belgium;Belgium;1;2;Spain;group E ;1990
Belgium;Belgium;3;1;Uruguay;group E ;1990
Belgium;Belgium;2;0;South Korea;group E ;1990
Belgium;Belgium;2;4;France;3rd place;1986
Belgium;Argentina;2;0;Belgium;semifinal;1986
Belgium;Belgium;1;1;Spain;quaterfinal;1986
Belgium;Belgium;4;3;U.S.S.R.;round of 16 ;1986
Belgium;Belgium;2;2;Paraguay;group B ;1986
Belgium;Belgium;2;1;Iraq;group B ;1986
Belgium;Belgium;1;2;Mexico;group B ;1986
Belgium;Belgium;0;1;U.S.S.R.;group A ;1982
Belgium;Belgium;0;3;Poland;group A ;1982
Belgium;Belgium;1;1;Hungary;group 3;1982
Belgium;Belgium;1;0;El Salvador;group 3;1982
Belgium;Argentina;0;1;Belgium;group 3;1982
Belgium;Belgium;0;1;Mexico;group 1;1970
Belgium;Belgium;1;4;U.S.S.R.;group 1;1970
Belgium;Belgium;3;0;El Salvador;group 1;1970
Belgium;Belgium;1;4;Italy;group 4;1954
Belgium;Belgium;4;4;England;group 4;1954
Belgium;Belgium;1;3;France;;1938
Belgium;Belgium;2;5;Germany;group 1;1934
Belgium;Belgium;0;1;Paraguay;group 4;1930
Belgium;Belgium;0;3;United States;group 4;1930
Tunisia;Tunisia;0;1;Ukraine;group H ;2006
Tunisia;Spain;3;1;Tunisia;group H ;2006
Tunisia;Saudi Arabia;2;2;Tunisia;group H ;2006
Tunisia;Japan;2;0;Tunisia;group H ;2002
Tunisia;Belgium;1;1;Tunisia;group H ;2002
Tunisia;Russia;2;0;Tunisia;group H ;2002
Tunisia;Romania;1;1;Tunisia;group G ;1998
Tunisia;Colombia;1;0;Tunisia;group G ;1998
Tunisia;England;2;0;Tunisia;group G ;1998
Tunisia;Germany;0;0;Tunisia;group 2;1978
Tunisia;Poland;1;0;Tunisia;group 2;1978
Tunisia;Mexico;1;3;Tunisia;group 2;1978
England;Costa Rica;0;0;England;group D ;2014
England;England;1;2;Uruguay;group D ;2014
England;England;1;2;Italy;group D ;2014
England;England;1;4;Germany;round of 16 ;2010
England;England;1;0;Slovenia;group C ;2010
England;Algeria;0;0;England;group C ;2010
England;England;1;1;United States;group C ;2010
England;England;0;0;Portugal;quaterfinal;2006
England;Ecuador;0;1;England;round of 16 ;2006
England;England;2;2;Sweden;group B ;2006
England;England;2;0;Trinidad and Tobago;group B ;2006
England;England;1;0;Paraguay;group B ;2006
England;Brazil;2;1;England;quaterfinal;2002
England;Denmark;0;3;England;round of 16 ;2002
England;England;0;0;Nigeria;group F ;2002
England;Argentina;0;1;England;group F ;2002
England;England;1;1;Sweden;group F ;2002
England;Argentina;2;2;England;round of 16 ;1998
England;Colombia;2;0;England;group G ;1998
England;England;1;2;Romania;group G ;1998
England;England;2;0;Tunisia;group G ;1998
England;England;1;2;Italy;3rd place;1990
England;England;1;1;Germany;semifinal;1990
England;Cameroon;2;3;England;quaterfinal;1990
England;Belgium;0;1;England;round of 16 ;1990
England;Egypt;0;1;England;group F ;1990
England;England;0;0;Netherlands;group F ;1990
England;England;1;1;Republic of Ireland;group F ;1990
England;Argentina;2;1;England;quaterfinal;1986
England;England;3;0;Paraguay;round of 16 ;1986
England;England;3;0;Poland;group F ;1986
England;England;0;0;Morocco;group F ;1986
England;England;0;1;Portugal;group F ;1986
England;England;0;0;Spain;group B ;1982
England;England;0;0;Germany;group B ;1982
England;England;1;0;Kuwait;group 4;1982
England;Czechoslovakia;0;2;England;group 4;1982
England;England;3;1;France;group 4;1982
England;England;2;3;Germany;quaterfinal;1970
England;Czechoslovakia;0;1;England;group 3;1970
England;Brazil;1;0;England;group 3;1970
England;England;1;0;Romania;group 3;1970
England;England;4;2;Germany;final;1966
England;England;2;1;Portugal;semifinal;1966
England;Argentina;0;1;England;quaterfinal;1966
England;England;2;0;France;group 1;1966
England;England;2;0;Mexico;group 1;1966
England;England;0;0;Uruguay;group 1;1966
England;Brazil;3;1;England;quaterfinal;1962
England;Bulgaria;0;0;England;group 4;1962
England;Argentina;1;3;England;group 4;1962
England;England;1;2;Hungary;group 4;1962
England;England;0;1;U.S.S.R.;group 4;1958
England;Austria;2;2;England;group 4;1958
England;Brazil;0;0;England;group 4;1958
England;England;2;2;U.S.S.R.;group 4;1958
England;England;2;4;Uruguay;quaterfinal;1954
England;England;2;0;Switzerland;group 4;1954
England;Belgium;4;4;England;group 4;1954
England;England;0;1;Spain;group 2;1950
England;England;0;1;United States;group 2;1950
England;Chile;0;2;England;group 2;1950
Senegal;Senegal;0;1;Turkey;quaterfinal;2002
Senegal;Senegal;2;1;Sweden;round of 16 ;2002
Senegal;Senegal;3;3;Uruguay;group A ;2002
Senegal;Denmark;1;1;Senegal;group A ;2002
Senegal;France;0;1;Senegal;group A ;2002
Poland;Costa Rica;1;2;Poland;group A ;2006
Poland;Germany;1;0;Poland;group A ;2006
Poland;Ecuador;2;0;Poland;group A ;2006
Poland;Poland;3;1;United States;group D ;2002
Poland;Poland;0;4;Portugal;group D ;2002
Poland;Poland;0;2;South Korea;group D ;2002
Poland;Brazil;4;0;Poland;round of 16 ;1986
Poland;England;3;0;Poland;group F ;1986
Poland;Poland;1;0;Portugal;group F ;1986
Poland;Morocco;0;0;Poland;group F ;1986
Poland;France;2;3;Poland;3rd place;1982
Poland;Italy;2;0;Poland;semifinal;1982
Poland;Poland;0;0;U.S.S.R.;group A ;1982
Poland;Belgium;0;3;Poland;group A ;1982
Poland;Peru;1;5;Poland;group 1;1982
Poland;Cameroon;0;0;Poland;group 1;1982
Poland;Italy;0;0;Poland;group 1;1982
Poland;Brazil;3;1;Poland;group B ;1978
Poland;Peru;0;1;Poland;group B ;1978
Poland;Argentina;2;0;Poland;group B ;1978
Poland;Mexico;1;3;Poland;group 2;1978
Poland;Poland;1;0;Tunisia;group 2;1978
Poland;Germany;0;0;Poland;group 2;1978
Poland;Brazil;0;1;Poland;;1974
Poland;Germany;1;0;Poland;group B ;1974
Poland;Poland;2;1;Yugoslavia;group B ;1974
Poland;Poland;1;0;Sweden;group B ;1974
Poland;Italy;1;2;Poland;;1974
Poland;Haiti;0;7;Poland;;1974
Poland;Argentina;2;3;Poland;;1974
Poland;Brazil;6;5;Poland;;1938
Colombia;Brazil;2;1;Colombia;quaterfinal;2014
Colombia;Colombia;2;0;Uruguay;round of 16 ;2014
Colombia;Colombia;4;1;Japan;group C ;2014
Colombia;Colombia;2;1;C™te d'Ivoire;group C ;2014
Colombia;Colombia;3;0;Greece;group C ;2014
Colombia;Colombia;2;0;England;group G ;1998
Colombia;Colombia;1;0;Tunisia;group G ;1998
Colombia;Colombia;0;1;Romania;group G ;1998
Colombia;Colombia;2;0;Switzerland;group A ;1994
Colombia;Colombia;1;2;United States;group A ;1994
Colombia;Colombia;1;3;Romania;group A ;1994
Colombia;Cameroon;2;1;Colombia;round of 16 ;1990
Colombia;Colombia;1;1;Germany;group D ;1990
Colombia;Colombia;0;1;Yugoslavia;group D ;1990
Colombia;Colombia;2;0;United Arab Emirates;group D ;1990
Colombia;Colombia;0;5;Yugoslavia;group 1;1962
Colombia;Colombia;4;4;U.S.S.R.;group 1;1962
Colombia;Colombia;1;2;Uruguay;group 1;1962
Japan;Colombia;4;1;Japan;group C ;2014
Japan;Greece;0;0;Japan;group C ;2014
Japan;C™te d'Ivoire;2;1;Japan;group C ;2014
Japan;Japan;0;0;Paraguay;round of 16 ;2010
Japan;Denmark;1;3;Japan;group E ;2010
Japan;Japan;0;1;Netherlands;group E ;2010
Japan;Cameroon;0;1;Japan;group E ;2010
Japan;Brazil;4;1;Japan;group F ;2006
Japan;Croatia;0;0;Japan;group F ;2006
Japan;Australia;3;1;Japan;group F ;2006
Japan;Japan;0;1;Turkey;round of 16 ;2002
Japan;Japan;2;0;Tunisia;group H ;2002
Japan;Japan;1;0;Russia;group H ;2002
Japan;Belgium;2;2;Japan;group H ;2002
Japan;Jamaica;2;1;Japan;group H ;1998
Japan;Croatia;1;0;Japan;group H ;1998
Japan;Argentina;1;0;Japan;group H ;1998
